Ward code,Ward name,stop_count
E05013689,Ponders End,43
E05013690,Ridgeway,41
E05013691,Southbury,44
E05013692,Southgate,39
E05013693,Town,59
E05013694,Upper Edmonton,37
E05013695,Whitewebbs,41
E05013696,Winchmore Hill,20
E05013697,Arsenal,7
E05013698,Barnsbury,26
E05013699,Bunhill,41
E05013700,Caledonian,22
E05013701,Canonbury,25
E05013702,Clerkenwell,48
E05013703,Finsbury Park,29
E05013704,Highbury,18
E05013705,Hillrise,21
E05013706,Holloway,22
E05013707,Junction,40
E05013708,Laycock,25
E05013709,Mildmay,29
E05013710,St Mary's & St James',28
E05013711,St Peter's & Canalside,16
E05013712,Tollington,14
E05013713,Tufnell Park,22
E05013714,Bellingham,43
E05013715,Blackheath,49
E05013716,Brockley,37
E05013717,Catford South,34
E05013718,Crofton Park,37
E05013719,Deptford,27
E05013720,Downham,45
E05013721,Evelyn,25
E05013722,Forest Hill,46
E05013723,Grove Park,57
E05013724,Hither Green,49
E05013725,Ladywell,48
E05013726,Lee Green,32
E05013727,Lewisham Central,33
E05013728,New Cross Gate,7
E05013729,Perry Vale,29
E05013730,Rushey Green,50
E05013731,Sydenham,47
E05013732,Telegraph Hill,31
E05013733,Addison,8
E05013734,Avonmore,11
E05013735,Brook Green,13
E05013736,College Park & Old Oak,43
E05013737,Coningham,11
E05013738,Fulham Reach,9
E05013739,Fulham Town,13
E05013740,Grove,10
E05013741,Hammersmith Broadway,29
E05013742,Lillie,6
E05013743,Munster,13
E05013744,Palace & Hurlingham,19
E05013745,Parsons Green & Sandford,19
E05013746,Ravenscourt,21
E05013747,Sands End,21
E05013748,Shepherd's Bush Green,28
E05013749,Walham Green,17
E05013750,Wendell Park,10
E05013751,West Kensington,10
E05013752,White City,15
E05013753,Wormholt,11
E05013754,Beddington,41
E05013755,Belmont,31
E05013756,Carshalton Central,33
E05013757,Carshalton South & Clockhouse,34
E05013758,Cheam,22
E05013759,Hackbridge,17
E05013760,North Cheam,32
E05013761,St Helier East,16
E05013762,St Helier West,28
E05013763,South Beddington & Roundshaw,26
E05013764,Stonecot,19
E05013765,Sutton Central,36
E05013766,Sutton North,34
E05013767,Sutton South,22
E05013768,Sutton West & East Cheam,13
E05013769,The Wrythe,21
E05013770,Wallington North,25
E05013771,Wallington South,25
E05013772,Worcester Park North,9
E05013773,Worcester Park South,4
E05013774,Barnes,28
E05013775,East Sheen,14
E05013776,Fulwell & Hampton Hill,37
E05013777,"Ham, Petersham & Richmond Riverside",38
E05013778,Hampton,46
E05013779,Hampton North,35
E05013780,Hampton Wick & South Teddington,23
E05013781,Heathfield,26
E05013782,Kew,38
E05013783,Mortlake & Barnes Common,34
E05013784,North Richmond,26
E05013785,St Margarets & North Twickenham,33
E05013786,South Richmond,38
E05013787,South Twickenham,25
E05013788,Teddington,33
E05013789,Twickenham Riverside,29
E05013790,West Twickenham,23
E05013791,Whitton,21
E05013792,Abbey Road,27
E05013793,Bayswater,17
E05013794,Church Street,10
E05013795,Harrow Road,15
E05013796,Hyde Park,56
E05013797,Knightsbridge & Belgravia,62
E05013798,Lancaster Gate,28
E05013799,Little Venice,17
E05013800,Maida Vale,13
E05013801,Marylebone,17
E05013802,Pimlico North,53
E05013803,Pimlico South,15
E05013804,Queen's Park,10
E05013805,Regent's Park,42
E05013806,St James's,157
E05013807,Vincent Square,19
E05013808,West End,98
E05013809,Westbourne,14
E05013810,Abbey,24
E05013811,Cannon Hill,28
E05013812,Colliers Wood,19
E05013813,Cricket Green,42
E05013814,Figge's Marsh,34
E05013815,Graveney,8
E05013816,Hillside,23
E05013817,Lavender Fields,13
E05013818,Longthornton,28
E05013819,Lower Morden,29
E05013820,Merton Park,34
E05013821,Pollards Hill,26
E05013822,Ravensbury,28
E05013823,Raynes Park,38
E05013824,St Helier,28
E05013825,Village,35
E05013826,Wandle,12
E05013827,West Barnes,25
E05013828,Wimbledon Park,12
E05013829,Wimbledon Town & Dundonald,29
E05013882,Cann Hall,19
E05013883,Cathall,17
E05013884,Chapel End,28
E05013885,Chingford Green,50
E05013886,Endlebury,23
E05013887,Forest,42
E05013888,Grove Green,17
E05013889,Hale End & Highams Park South,20
E05013890,Hatch Lane & Highams Park North,27
E05013891,High Street,36
E05013892,Higham Hill,26
E05013893,Hoe Street,21
E05013894,Larkswood,22
E05013895,Lea Bridge,30
E05013896,Leyton,23
E05013897,Leytonstone,30
E05013898,Markhouse,7
E05013899,St James,20
E05013900,Upper Walthamstow,27
E05013901,Valley,33
E05013902,William Morris,18
E05013903,Wood Street,16
E05013904,Beckton,70
E05013905,Boleyn,10
E05013906,Canning Town North,37
E05013907,Canning Town South,27
E05013908,Custom House,30
E05013909,East Ham,23
E05013910,East Ham South,32
