LSOA name,LSOA code,Total,Aged 4 years and under,Aged 5 to 9 years,Aged 10 to 15 years,Aged 16 to 19 years,Aged 20 to 24 years,Aged 25 to 34 years,Aged 35 to 49 years,Aged 50 to 64 years,Aged 65 to 74 years,Aged 75 to 84 years,Aged 85 years and over
Barking and Dagenham 006C,E01000061,1925,163,167,213,118,114,374,410,254,71,27,14
Barking and Dagenham 006D,E01000062,2219,147,172,218,114,155,329,453,381,148,79,23
Barking and Dagenham 006E,E01000064,2298,172,176,214,114,147,326,530,371,115,84,49
Barking and Dagenham 007A,E01000065,1982,121,141,183,101,102,240,464,365,138,90,37
Barking and Dagenham 007B,E01000078,1895,145,188,210,82,108,260,441,316,83,47,15
Barking and Dagenham 007C,E01000080,1777,106,137,199,80,134,247,408,346,71,35,14
Barking and Dagenham 007D,E01000081,1972,135,147,186,120,98,308,453,360,116,29,20
Barking and Dagenham 007E,E01000082,1916,125,146,199,105,94,233,488,354,107,54,11
Barking and Dagenham 007F,E01000083,1919,132,184,221,110,90,238,462,313,98,54,17
Barking and Dagenham 007G,E01000102,1783,130,147,211,95,94,226,430,279,96,51,24
Barking and Dagenham 008A,E01000021,1696,130,158,171,91,103,267,384,254,82,43,13
Barking and Dagenham 008B,E01000022,1479,97,127,161,80,81,206,339,246,96,31,15
Barking and Dagenham 008D,E01000024,1484,100,131,134,101,91,221,337,245,79,33,12
Barking and Dagenham 008E,E01000025,1922,139,154,182,103,106,260,428,353,91,41,65
Barking and Dagenham 008F,E01000077,1722,134,140,153,81,122,220,388,333,87,42,22
Barking and Dagenham 008G,E01034471,2685,219,229,344,215,207,428,632,295,80,22,14
Barking and Dagenham 008H,E01034472,1884,209,200,200,85,138,340,485,192,20,13,2
Barking and Dagenham 009A,E01000015,2421,215,230,239,120,149,373,544,386,89,51,25
Barking and Dagenham 009B,E01000016,1852,120,145,188,108,112,282,409,324,103,44,17
Barking and Dagenham 009C,E01000017,1724,105,139,177,83,115,232,372,335,97,54,15
Barking and Dagenham 009D,E01000018,1773,115,137,169,95,110,258,428,315,78,53,15
Barking and Dagenham 009E,E01000079,1719,129,130,174,87,97,220,392,297,112,57,24
Barking and Dagenham 010A,E01000035,1859,122,122,158,113,107,270,409,310,116,78,54
Barking and Dagenham 010B,E01000036,1475,87,105,118,86,110,222,307,274,84,56,26
Barking and Dagenham 010C,E01000107,1786,121,138,157,97,105,228,372,291,131,98,48
Barking and Dagenham 010D,E01000108,1914,178,147,159,90,127,308,400,303,108,66,28
Barking and Dagenham 011A,E01000066,2499,118,213,249,209,271,318,502,359,151,84,25
Barking and Dagenham 011B,E01000067,2236,169,175,217,124,166,330,461,359,140,58,37
Barking and Dagenham 011C,E01000069,2096,141,149,155,115,161,415,402,361,120,56,21
Barking and Dagenham 011D,E01000070,2073,146,151,171,98,139,311,465,344,134,72,42
Barking and Dagenham 011E,E01000071,2603,169,202,241,148,187,385,629,388,121,90,43
Barking and Dagenham 012A,E01000057,1549,108,123,171,85,78,223,378,226,102,40,15
Barking and Dagenham 012B,E01000073,1846,132,163,192,93,80,271,431,290,127,39,28
Barking and Dagenham 012C,E01000074,1759,134,145,196,100,107,242,427,250,97,46,15
Barking and Dagenham 012D,E01000075,2082,189,168,179,104,128,308,455,328,131,66,26
Barking and Dagenham 012E,E01000076,2160,135,171,226,124,138,278,505,396,123,51,13
Barking and Dagenham 013A,E01000013,1872,117,177,179,94,112,285,439,299,96,51,23
Barking and Dagenham 013B,E01000014,1750,129,145,156,92,99,270,406,292,91,53,17
Barking and Dagenham 013C,E01000059,1709,129,136,148,85,98,240,345,301,130,56,41
Barking and Dagenham 013D,E01000084,1440,84,121,151,76,69,195,328,268,86,45,17
Barking and Dagenham 013E,E01000085,1646,110,127,167,95,113,231,396,234,109,51,13
Barking and Dagenham 013F,E01000086,1450,104,110,144,90,84,199,321,243,86,56,13
Barking and Dagenham 014A,E01000103,1779,117,137,202,114,122,276,364,306,94,39,8
Barking and Dagenham 014B,E01000104,1918,157,154,215,109,106,306,392,332,80,56,11
Barking and Dagenham 014C,E01000105,2336,186,190,214,98,121,340,592,367,134,67,27
Barking and Dagenham 014D,E01000106,2207,220,184,225,99,116,359,452,343,114,59,36
Barking and Dagenham 015A,E01000007,2906,265,253,230,113,185,678,792,318,43,25,4
Barking and Dagenham 015B,E01000008,1794,122,197,217,149,118,247,396,283,43,16,6
Barking and Dagenham 015D,E01000012,2348,274,274,222,112,134,387,578,275,58,29,5
Barking and Dagenham 015E,E01034473,1266,103,116,107,51,70,263,313,171,43,25,4
Barking and Dagenham 015F,E01034474,2252,255,204,147,81,114,568,617,207,41,14,4
Barking and Dagenham 016A,E01000006,1845,153,127,134,97,124,305,471,276,107,35,16
Barking and Dagenham 016B,E01000009,1803,143,123,132,70,116,321,466,271,97,53,11
Barking and Dagenham 016C,E01000011,1704,113,118,151,106,117,291,440,236,82,36,14
Barking and Dagenham 016D,E01000044,1988,155,154,173,108,154,307,462,357,68,37,13
Barking and Dagenham 016E,E01000068,1794,97,103,116,126,131,287,432,310,110,50,32
Barking and Dagenham 017A,E01000041,1842,122,138,205,101,104,268,437,296,109,48,14
Barking and Dagenham 017B,E01000042,1882,174,173,210,92,117,265,481,250,66,36,18
Barking and Dagenham 017C,E01000045,1723,139,148,154,92,101,260,401,273,83,60,12
Barking and Dagenham 017D,E01000046,1958,150,160,196,105,122,297,451,313,112,38,14
Barking and Dagenham 017E,E01000072,2148,178,198,212,113,139,317,501,314,100,54,22
Barking and Dagenham 018A,E01000054,1871,146,161,195,103,100,251,445,267,118,54,31
Barking and Dagenham 018B,E01000055,1705,126,125,170,119,97,229,365,306,110,46,12
Barking and Dagenham 018C,E01000056,1701,119,145,170,73,109,246,358,295,100,63,23
Barking and Dagenham 018D,E01000058,2137,150,167,227,140,138,288,505,368,96,44,14
Barking and Dagenham 018E,E01000095,2250,289,194,257,87,121,414,467,289,88,33,11
Barking and Dagenham 019A,E01000040,1878,172,149,150,145,112,238,470,264,107,47,24
Barking and Dagenham 019B,E01000043,1539,81,106,133,95,136,238,318,265,80,63,24
Barking and Dagenham 019C,E01000050,1842,150,167,158,89,93,317,449,260,81,54,24
Barking and Dagenham 019D,E01000052,2369,238,214,213,114,96,358,610,330,102,68,26
Barking and Dagenham 019F,E01034475,1826,103,138,199,127,119,262,381,323,90,54,30
Barking and Dagenham 019G,E01034476,1821,154,180,246,111,120,271,450,238,31,17,3
Barking and Dagenham 019H,E01034477,1583,218,146,138,72,36,345,466,143,10,9,0
Barking and Dagenham 019I,E01034478,1198,174,88,76,20,40,350,369,73,7,1,0
Barking and Dagenham 020A,E01000053,1621,137,130,141,58,93,227,359,279,130,42,25
Barking and Dagenham 020B,E01000087,1636,100,145,168,104,105,252,358,265,90,34,15
Barking and Dagenham 020C,E01000088,1975,131,169,239,96,127,237,439,305,110,80,42
Barking and Dagenham 020D,E01000089,1826,125,190,231,96,103,219,418,292,93,39,20
Barking and Dagenham 020E,E01000090,1705,133,153,196,92,114,207,390,272,77,54,17
Barking and Dagenham 021C,E01000049,1972,166,187,264,178,134,215,515,231,41,30,11
Barking and Dagenham 021D,E01000051,1107,136,94,91,44,45,306,265,100,20,6,0
Barking and Dagenham 021E,E01033587,2450,302,199,174,94,111,572,701,237,49,10,1
Barking and Dagenham 021G,E01034479,2202,232,217,260,140,123,319,559,242,79,20,11
Barking and Dagenham 022A,E01000091,2091,139,202,276,131,135,281,465,331,74,36,21
Barking and Dagenham 022B,E01000093,1808,157,140,184,115,96,283,448,267,81,24,13
Barking and Dagenham 022C,E01000094,2461,242,243,278,134,131,454,624,298,39,14,4
Barking and Dagenham 022D,E01000096,1661,133,179,241,123,124,189,380,205,40,31,16
Barking and Dagenham 023A,E01000019,1659,120,159,202,85,83,224,389,263,75,43,16
Barking and Dagenham 023B,E01000020,2192,161,205,218,123,147,285,491,338,102,72,50
Barking and Dagenham 023C,E01000097,1935,125,160,200,108,109,267,444,307,112,76,27
Barking and Dagenham 023D,E01000098,1935,165,152,218,110,113,233,469,308,107,36,24
Barking and Dagenham 023E,E01000099,2778,236,250,268,141,168,438,715,398,92,50,22
Barking and Dagenham 023F,E01032580,1544,116,145,163,78,103,212,369,247,71,33,7
Barnet 001A,E01000248,1700,109,85,118,60,62,175,368,360,177,113,73
Barnet 001B,E01000249,1609,92,94,121,47,83,160,318,350,209,83,52
Barnet 001C,E01000250,2610,136,145,155,117,146,376,624,504,226,120,61
Barnet 001D,E01000254,1598,65,95,127,55,74,153,302,362,177,124,64
Barnet 001E,E01000292,1544,78,86,106,53,76,147,327,292,193,125,61
Barnet 001F,E01000293,1773,83,82,139,79,92,232,371,366,166,117,46
Barnet 002A,E01000167,1389,73,88,128,59,72,177,301,321,104,52,14
Barnet 002B,E01000246,1520,85,80,103,46,51,165,322,333,180,102,53
Barnet 002C,E01000247,1694,105,105,116,66,68,205,426,387,127,66,23
Barnet 002D,E01000251,2265,139,116,163,116,131,393,507,366,185,103,46
Barnet 002E,E01000252,1716,96,98,100,47,72,231,404,374,167,85,42
Barnet 003A,E01000166,1618,108,95,111,64,89,176,341,321,161,108,44
Barnet 003B,E01000168,1514,52,70,114,73,61,152,271,350,190,120,61
Barnet 003C,E01000169,1630,96,100,125,53,75,246,355,323,150,81,26
Barnet 003D,E01000172,1690,150,112,106,66,72,244,332,315,143,96,54
Barnet 004A,E01000285,1513,88,105,117,49,80,173,353,262,168,92,26
Barnet 004B,E01000287,1628,81,108,141,92,92,184,350,327,154,65,34
Barnet 004C,E01000288,1549,76,90,129,75,106,165,323,337,127,91,30
Barnet 004D,E01000289,1581,90,93,160,98,121,207,315,316,94,67,20
Barnet 004E,E01000291,1560,94,93,134,82,87,191,378,314,105,56,26
Barnet 004F,E01000294,1809,106,90,125,73,61,219,426,330,174,137,68
Barnet 005A,E01000267,1526,86,85,103,56,83,185,324,341,153,72,38
Barnet 005B,E01000268,2077,145,144,135,92,104,355,547,293,135,85,42
Barnet 005C,E01000269,1385,64,85,98,47,63,144,274,341,132,88,49
Barnet 005D,E01000270,1546,85,89,109,73,56,179,323,349,135,103,45
Barnet 006A,E01000170,1907,115,130,150,142,109,244,406,386,123,73,29
Barnet 006B,E01000171,2292,250,154,155,92,101,425,570,383,96,50,16
Barnet 006C,E01000173,1691,83,121,187,83,95,145,379,348,154,74,22
Barnet 006D,E01000174,1762,124,125,132,66,124,217,406,324,135,80,29
Barnet 006E,E01000175,2031,179,146,196,58,123,252,457,332,163,91,34
Barnet 007A,E01000228,1436,46,99,157,91,82,157,292,306,119,65,22
Barnet 007B,E01000253,1982,124,138,125,79,79,217,377,395,208,154,86
Barnet 007C,E01000279,1365,44,55,119,73,67,103,223,325,195,106,55
Barnet 007D,E01000280,1338,62,75,86,52,52,96,251,313,207,108,36
Barnet 007E,E01000286,1717,93,116,133,81,94,199,395,338,126,83,59
Barnet 007F,E01000290,1623,62,82,124,79,72,133,317,372,196,122,64
Barnet 008A,E01000271,1637,80,80,118,74,64,189,330,336,175,116,75
Barnet 008B,E01000272,1426,59,68,110,60,50,121,287,282,175,127,87
Barnet 008C,E01000273,1669,90,79,91,47,81,255,360,318,155,122,71
Barnet 008D,E01000281,1789,157,115,119,46,51,382,516,205,98,50,50
Barnet 008E,E01000282,1808,110,121,125,74,83,230,435,332,152,98,48
Barnet 009A,E01000115,1393,50,80,93,63,74,125,248,347,163,99,51
Barnet 009B,E01000116,1748,86,126,175,85,88,135,394,344,177,103,35
Barnet 009C,E01000119,1797,65,105,160,77,86,183,370,409,154,134,54
Barnet 009D,E01000120,1496,40,93,138,75,80,143,296,331,151,106,43
Barnet 009E,E01000122,1510,64,80,163,83,70,127,340,321,148,82,32
Barnet 010A,E01000117,1733,93,109,133,63,80,182,358,355,185,115,60
Barnet 010B,E01000118,2050,89,128,190,92,116,215,459,433,179,103,46
Barnet 010C,E01000121,1478,62,76,131,77,130,191,279,349,87,53,43
Barnet 010D,E01000123,1762,104,104,128,52,69,266,453,353,145,67,21
Barnet 010E,E01000124,1865,112,139,150,71,103,274,474,338,120,55,29
Barnet 011A,E01000265,1921,135,141,143,78,87,280,481,327,136,82,31
Barnet 011B,E01000266,1436,67,80,112,65,78,134,265,320,170,105,40
Barnet 011C,E01000274,1936,100,124,183,104,116,259,428,353,156,79,34
Barnet 011D,E01000320,1937,105,112,104,72,102,295,434,370,173,108,62
Barnet 011E,E01000322,1856,115,132,153,58,66,272,452,293,159,104,52
Barnet 012A,E01000275,1744,93,96,113,50,97,233,413,253,173,134,89
Barnet 012B,E01000277,1648,99,77,70,44,82,365,404,210,149,93,55
Barnet 012C,E01000283,1370,69,107,108,54,53,118,275,285,155,98,48
Barnet 012D,E01000284,1805,88,123,94,57,89,311,457,345,113,82,46
Barnet 012E,E01000321,1963,106,93,112,44,106,397,501,326,151,74,53
Barnet 013A,E01000195,2018,123,182,197,98,121,320,436,340,124,59,18
Barnet 013B,E01000229,1671,93,116,171,81,91,233,358,316,127,51,34
Barnet 013C,E01000230,1958,174,182,170,73,93,234,331,289,189,139,84
Barnet 013D,E01000231,1783,92,122,171,86,102,238,367,390,124,56,35
Barnet 013E,E01000232,1867,92,148,144,66,109,184,430,338,175,122,59
Barnet 013F,E01000233,1938,136,150,132,81,102,269,427,379,141,102,19
Barnet 014A,E01000186,1770,113,155,191,92,124,171,331,273,188,94,38
Barnet 014B,E01000187,1738,136,162,186,73,72,193,297,291,163,116,49
Barnet 014C,E01000188,1578,74,131,168,87,65,134,288,290,205,97,39
Barnet 014D,E01000189,2470,218,187,165,106,151,498,675,337,84,37,12
Barnet 014E,E01000190,1732,83,127,174,94,92,179,341,311,182,97,52
Barnet 014F,E01000191,1549,85,112,156,73,67,151,303,234,188,107,73
Barnet 015A,E01000158,1468,69,99,135,58,63,204,326,311,127,62,14
Barnet 015B,E01000159,1785,79,98,142,85,106,198,380,397,166,96,38
Barnet 015C,E01000160,1953,112,133,132,96,83,317,531,348,150,43,8
Barnet 015D,E01000161,2035,127,127,153,102,83,259,537,340,147,95,65
Barnet 015E,E01000162,1650,69,92,128,75,77,211,318,307,184,86,103
Barnet 015F,E01000324,1833,79,98,207,90,90,208,391,406,145,86,33
Barnet 016A,E01000256,1929,128,109,236,87,96,195,453,316,169,108,32
Barnet 016B,E01000258,1892,108,94,126,69,83,251,388,382,181,141,69
Barnet 016C,E01000263,1527,104,104,141,75,89,131,279,353,144,68,39
Barnet 016D,E01000264,1822,144,101,119,85,110,289,449,304,124,81,16
Barnet 017A,E01000255,1701,91,99,137,99,127,206,342,322,142,99,37
Barnet 017B,E01000257,2090,158,135,138,81,84,448,500,303,122,48,73
Barnet 017C,E01000261,1768,73,91,153,195,61,161,293,304,201,177,59
Barnet 017E,E01033911,1878,102,110,158,82,89,247,446,352,175,88,29
Barnet 017F,E01033912,1701,162,135,147,69,86,292,545,183,53,26,3
Barnet 018A,E01000192,1994,142,139,167,71,99,279,414,320,182,105,76
Barnet 018B,E01000193,1950,110,110,141,87,146,315,423,316,157,93,52
Barnet 018C,E01000194,1905,123,157,174,82,98,313,450,274,140,62,32
Barnet 018D,E01000226,1735,86,114,165,91,129,237,415,306,119,50,23
Barnet 018E,E01000227,1869,96,142,136,87,94,235,388,339,183,95,74
Barnet 019A,E01000299,2219,186,109,138,70,142,415,568,321,115,104,51
Barnet 019B,E01000300,1665,117,110,115,39,62,231,426,319,143,75,28
Barnet 019C,E01000302,1799,115,108,99,51,91,250,524,307,129,74,51
Barnet 019D,E01000317,1584,76,96,143,49,78,215,379,277,135,100,36
Barnet 019E,E01000318,1926,60,125,185,116,86,219,408,353,185,121,68
Barnet 019F,E01000323,2366,110,118,143,55,142,471,630,404,136,98,59
Barnet 020A,E01000276,1537,86,132,172,71,50,117,342,303,151,68,45
Barnet 020B,E01000278,1476,78,130,161,48,51,111,355,278,136,90,38
Barnet 020C,E01000301,1496,93,111,128,54,57,153,354,270,142,87,47
Barnet 020D,E01000303,1496,105,105,106,54,57,175,350,297,123,83,41
Barnet 020E,E01000304,1556,86,83,100,52,81,300,387,271,132,47,17
Barnet 021A,E01000130,1937,117,124,166,92,126,284,521,310,130,60,7
Barnet 021B,E01000132,1620,127,112,173,83,114,234,344,319,62,45,7
Barnet 021C,E01000133,1645,93,120,156,87,86,231,396,304,110,44,18
Barnet 021D,E01000234,1785,130,153,139,43,81,259,454,266,146,82,32
Barnet 021E,E01000235,1862,94,108,160,113,165,275,406,372,108,42,19
Barnet 022A,E01000156,2029,114,176,206,91,75,244,535,370,121,71,26
Barnet 022B,E01000157,1584,99,113,152,53,64,177,464,275,109,53,25
Barnet 022C,E01000163,1687,122,102,135,69,86,277,469,288,80,47,12
Barnet 022D,E01000164,1712,108,125,137,88,105,238,397,329,123,46,16
Barnet 022E,E01000165,1810,113,95,136,95,95,204,416,364,158,93,41
Barnet 022F,E01000315,1700,66,100,143,97,112,224,327,406,138,57,30
Barnet 023A,E01000197,1851,117,119,122,46,93,331,467,317,119,96,24
Barnet 023B,E01000295,1614,101,87,84,49,82,292,374,319,113,87,26
Barnet 023C,E01000296,1785,137,89,94,41,86,381,508,250,110,58,31
Barnet 023D,E01000298,1712,102,93,115,47,92,331,439,272,126,57,38
Barnet 024B,E01000127,1556,101,110,150,68,93,195,358,316,115,27,23
Barnet 024C,E01000128,2051,111,144,188,124,130,285,473,379,132,63,22
Barnet 024D,E01000129,1602,87,111,143,82,113,231,390,258,107,60,20
Barnet 024E,E01000131,2023,162,126,132,59,146,378,444,315,138,84,39
Barnet 024F,E01000134,1825,151,122,133,100,152,311,386,289,103,49,29
Barnet 024G,E01033913,1529,99,159,123,109,76,216,388,192,80,45,42
Barnet 024H,E01033914,1813,158,154,152,90,116,266,437,271,108,44,17
Barnet 025A,E01000198,2193,171,169,238,96,111,284,490,304,186,99,45
Barnet 025B,E01000199,1579,88,108,97,68,67,149,303,275,185,160,79
Barnet 025C,E01000204,1700,85,121,102,66,85,214,375,285,193,128,46
Barnet 025D,E01000259,2644,181,169,204,118,145,371,585,481,195,133,62
Barnet 025E,E01000260,2169,172,144,149,70,131,348,542,372,131,74,36
Barnet 026A,E01000126,2272,139,145,176,132,202,361,518,450,95,41,13
Barnet 026B,E01000151,1719,140,181,193,134,90,246,383,254,55,34,9
Barnet 026C,E01000152,2690,237,197,278,112,169,487,705,368,95,39,3
Barnet 026D,E01000153,1932,132,142,167,117,118,259,481,307,132,61,16
Barnet 026E,E01000154,1915,136,110,139,81,148,384,468,284,90,62,13
Barnet 027A,E01000176,1722,78,80,86,112,161,212,311,325,196,132,29
Barnet 027B,E01000178,1673,88,114,163,81,79,189,359,350,136,71,43
Barnet 027C,E01000184,1878,91,115,155,108,181,319,395,335,96,65,18
Barnet 027D,E01000297,1419,91,78,89,45,66,245,368,254,103,65,15
Barnet 027E,E01000316,2288,139,149,191,97,105,368,582,402,149,87,19
Barnet 027F,E01000319,1404,76,89,146,64,51,157,341,269,110,72,29
Barnet 028A,E01000196,2124,119,101,83,36,102,439,628,301,125,113,77
Barnet 028B,E01000200,1978,114,118,128,71,79,234,411,319,244,162,98
Barnet 028C,E01000201,1539,68,114,130,82,72,123,297,265,216,122,50
Barnet 028D,E01000202,1673,104,92,123,59,95,240,330,336,139,104,51
Barnet 028E,E01000203,1842,107,132,132,94,122,254,385,361,129,92,34
Barnet 029A,E01000177,1663,112,113,160,51,51,252,430,260,142,68,24
Barnet 029B,E01000179,1791,179,102,106,44,62,321,531,296,76,66,8
Barnet 029C,E01000180,1613,86,93,133,59,67,283,346,270,141,91,44
Barnet 029D,E01000181,1691,68,97,122,49,63,329,403,304,140,95,21
Barnet 029E,E01000182,1617,67,85,109,63,65,257,391,318,120,101,41
Barnet 029F,E01000185,1474,52,83,106,84,85,274,329,272,98,77,14
Barnet 031A,E01000239,2057,138,111,110,67,198,406,561,280,137,36,13
Barnet 031B,E01000240,1733,95,104,98,69,131,286,339,318,184,75,34
Barnet 031C,E01000241,1788,99,118,137,73,111,264,409,306,149,93,29
Barnet 031D,E01000309,2051,101,122,177,74,148,379,491,313,132,76,38
Barnet 032A,E01000237,2097,140,139,167,95,190,413,483,256,112,64,38
Barnet 032B,E01000242,1602,105,126,156,79,88,185,285,279,142,96,61
Barnet 032C,E01000243,2163,150,134,141,71,264,483,438,259,105,78,40
Barnet 032D,E01000244,1641,75,78,108,96,203,279,341,245,109,67,40
Barnet 032E,E01000245,2055,130,96,145,98,179,436,442,351,99,58,21
Barnet 032F,E01000314,2167,97,109,136,92,227,393,515,369,122,64,43
Barnet 033A,E01000183,1519,98,119,103,48,47,177,339,254,133,129,72
Barnet 033B,E01000206,1505,43,80,144,82,66,155,259,345,162,123,46
Barnet 033C,E01000207,1581,78,106,141,62,58,163,301,269,175,159,69
Barnet 033D,E01000208,1630,104,104,114,56,58,199,379,293,162,109,52
Barnet 033E,E01000210,1550,108,139,130,71,54,191,374,260,114,61,48
Barnet 033F,E01000213,1351,69,94,159,82,79,95,253,288,128,79,25
Barnet 034A,E01000236,1954,234,167,153,75,162,361,377,197,124,70,34
Barnet 034B,E01000238,2092,172,188,219,100,236,313,424,248,103,61,28
Barnet 034C,E01000310,2194,119,119,138,74,156,475,452,369,144,102,46
Barnet 034D,E01000311,1771,146,213,211,96,113,227,347,223,103,61,31
Barnet 035A,E01000205,1507,110,118,112,45,62,125,366,276,144,119,30
Barnet 035B,E01000209,1483,96,78,70,37,46,107,285,258,223,180,103
Barnet 035C,E01000211,2128,141,122,141,80,135,399,576,283,118,75,58
Barnet 035D,E01000212,1350,54,75,101,52,58,182,286,251,136,110,45
Barnet 035E,E01000216,1978,148,165,195,83,126,327,396,275,142,79,42
Barnet 035F,E01000217,1785,167,169,204,82,94,262,365,229,112,76,25
Barnet 036A,E01000150,2251,140,130,195,103,139,347,512,375,174,100,36
Barnet 036B,E01000305,1622,85,76,82,69,93,337,414,271,104,68,23
Barnet 036C,E01000306,1968,135,65,92,49,130,456,517,287,126,69,42
Barnet 036D,E01000308,2110,171,80,94,54,165,563,480,296,123,64,20
Barnet 036E,E01000312,1772,101,92,125,75,98,250,436,459,90,32,14
Barnet 036F,E01000313,1901,109,110,122,64,107,399,457,336,111,60,26
Barnet 037A,E01000145,1611,108,144,181,83,111,206,306,221,121,64,66
Barnet 037B,E01000215,2144,259,223,234,122,117,323,360,192,146,105,63
Barnet 037C,E01000218,1842,171,183,190,94,121,308,306,260,96,63,50
Barnet 037D,E01000219,2196,257,251,215,79,141,391,408,257,102,70,25
Barnet 037E,E01000220,1888,205,135,174,59,113,303,331,249,136,83,100
Barnet 037F,E01000225,1869,148,213,269,112,83,184,357,218,150,87,48
Barnet 038A,E01000135,1700,99,94,119,62,99,232,367,293,151,98,86
Barnet 038B,E01000136,1487,59,105,150,57,53,144,299,300,161,98,61
Barnet 038C,E01000144,1661,103,98,110,52,98,330,444,231,115,52,28
Barnet 038D,E01000146,1871,78,99,106,59,159,385,488,276,115,61,45
Barnet 038E,E01000214,1626,71,72,95,57,74,297,408,309,123,76,44
Barnet 039A,E01000141,1865,97,92,109,70,157,351,481,335,116,43,14
Barnet 039B,E01000221,1413,90,121,156,82,85,191,338,234,78,30,8
Barnet 039C,E01000223,2030,127,167,205,105,120,331,463,354,103,39,16
Barnet 039D,E01000307,1652,101,91,135,63,119,289,380,258,111,70,35
Barnet 040A,E01000138,1617,83,97,106,65,86,252,385,317,142,66,18
Barnet 040B,E01000142,2236,147,127,155,84,133,357,571,372,159,88,43
Barnet 040C,E01000222,2042,112,124,185,98,151,323,458,387,117,64,23
Barnet 040D,E01000224,1693,100,116,151,92,95,242,386,279,127,66,39
Barnet 041A,E01000137,1657,102,120,189,76,93,259,362,277,105,53,21
Barnet 041B,E01000139,1389,62,72,106,49,81,230,305,257,120,78,29
Barnet 041C,E01000140,1958,114,106,112,66,125,430,473,333,86,78,35
Barnet 041D,E01000143,1670,169,84,105,94,136,323,357,254,81,53,14
Barnet 042A,E01033915,1485,132,151,166,59,95,338,389,118,27,8,2
Barnet 042B,E01033916,1787,121,91,99,84,154,393,513,240,61,23,8
Barnet 042C,E01033917,1509,91,74,103,38,137,431,404,185,28,14,4
Barnet 042D,E01033918,1554,86,61,57,142,236,462,338,124,33,12,3
Barnet 042E,E01033919,1312,78,43,52,30,120,526,323,101,29,5,5
Barnet 042F,E01033920,1525,146,48,60,37,118,510,374,153,33,26,20
Barnet 043F,E01000147,1913,110,93,102,87,137,342,410,348,140,102,42
Barnet 043A,E01033921,1656,124,133,116,55,120,447,462,154,28,13,4
Barnet 043B,E01033922,1709,150,108,94,57,136,534,461,131,28,7,3
Barnet 043C,E01033923,1563,110,118,125,97,94,248,420,223,77,38,13
Barnet 043D,E01033924,1544,97,120,135,73,121,264,336,280,78,31,9
Barnet 043E,E01033925,1731,128,99,103,86,131,379,363,256,102,50,34
Bexley 001A,E01000466,1714,102,127,189,98,107,243,329,349,116,50,4
Bexley 001B,E01000467,1679,118,120,183,86,91,203,363,344,100,47,24
Bexley 001C,E01000468,2929,200,260,379,219,163,330,699,547,91,32,9
Bexley 001D,E01000469,1736,127,146,170,76,84,244,375,373,95,37,9
