LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01001395,Enfield 035B,15,120,165,330,c
E01001396,Enfield 036D,30,130,215,200,c
E01001397,Enfield 035C,30,115,245,440,c
E01001398,Enfield 021A,25,220,240,30,c
E01001399,Enfield 021B,15,305,170,30,c
E01001400,Enfield 021C,80,335,100,90,c
E01001401,Enfield 016A,10,120,375,c,c
E01001402,Enfield 021D,30,320,155,220,c
E01001403,Enfield 021E,20,165,305,180,c
E01001404,Enfield 026A,15,175,285,65,c
E01001405,Enfield 015A,70,95,70,665,c
E01001406,Enfield 015B,20,205,140,330,c
E01001407,Enfield 005A,45,120,315,135,c
E01001408,Enfield 004A,45,80,455,170,c
E01001409,Enfield 005B,20,135,270,425,c
E01001410,Enfield 005C,25,70,205,600,c
E01001411,Enfield 004B,30,195,325,230,c
E01001412,Enfield 004C,285,115,150,130,25
E01001413,Enfield 004D,70,425,65,70,c
E01001414,Enfield 004E,15,80,100,525,c
E01001415,Enfield 011A,65,225,65,565,c
E01001416,Enfield 013A,60,515,c,25,c
E01001417,Enfield 011B,435,85,50,240,c
E01001418,Enfield 011C,45,355,20,355,c
E01001419,Enfield 020A,50,240,50,475,c
E01001420,Enfield 020B,65,110,240,250,c
E01001421,Enfield 020C,40,75,125,485,c
E01001422,Enfield 011D,450,80,15,105,c
E01001423,Enfield 027A,45,195,170,250,c
E01001424,Enfield 030A,20,40,95,335,c
E01001425,Enfield 027B,45,55,185,545,c
E01001426,Enfield 030B,40,220,125,270,c
E01001427,Enfield 030C,35,75,135,435,c
E01001428,Enfield 027C,40,285,95,180,c
E01001429,Enfield 030D,25,30,80,930,c
E01001430,Enfield 030E,20,25,110,515,c
E01001431,Enfield 033A,35,140,145,385,c
E01001432,Enfield 033B,50,170,250,320,c
E01001433,Enfield 007A,60,160,305,70,c
E01001434,Enfield 007B,45,150,300,65,c
E01001435,Enfield 007C,30,150,280,35,c
E01001436,Enfield 007D,55,215,300,115,c
E01001437,Enfield 014A,25,155,145,655,c
E01001438,Enfield 007E,30,235,175,165,c
E01001439,Enfield 006A,40,125,125,530,c
E01001440,Enfield 012A,35,125,250,195,c
E01001441,Enfield 006B,35,135,170,325,c
E01001442,Enfield 002A,25,65,150,440,c
E01001444,Enfield 001A,35,310,175,155,c
E01001445,Enfield 003B,65,120,355,740,c
E01001446,Enfield 001B,85,215,160,270,c
E01001447,Enfield 003C,55,160,205,365,c
E01001448,Enfield 003D,55,160,285,205,c
E01001449,Enfield 003E,40,170,285,90,c
E01001450,Enfield 015C,55,95,70,965,c
E01001451,Enfield 017A,115,320,70,210,c
E01001452,Enfield 017B,170,210,55,50,c
E01001453,Enfield 017C,210,220,45,205,c
E01001454,Enfield 017D,135,275,25,260,c
E01001455,Enfield 021F,15,160,280,130,c
E01001456,Enfield 022A,35,380,30,55,c
E01001457,Enfield 010A,75,135,135,550,c
E01001458,Enfield 037A,25,55,105,475,c
E01001459,Enfield 024A,60,130,345,40,c
E01001460,Enfield 024B,50,95,200,390,c
E01001461,Enfield 027D,20,125,110,475,c
E01001462,Enfield 024C,20,125,155,270,c
E01001463,Enfield 031A,30,215,220,65,c
E01001464,Enfield 027E,25,325,20,65,c
E01001465,Enfield 031B,40,100,305,85,c
E01001466,Enfield 031C,70,60,450,70,c
E01001467,Enfield 031D,95,160,385,60,c
E01001468,Enfield 010B,85,170,145,230,c
E01001469,Enfield 008A,55,200,255,190,c
E01001470,Enfield 013B,80,385,55,160,c
E01001471,Enfield 010C,90,80,90,775,c
E01001472,Enfield 010D,85,195,95,430,c
E01001473,Enfield 013C,85,385,80,c,c
E01001474,Enfield 010E,185,110,100,530,c
E01001475,Enfield 013D,165,455,15,10,c
E01001476,Enfield 018A,40,175,260,155,c
E01001477,Enfield 018B,55,165,335,80,c
E01001478,Enfield 016B,45,185,290,65,c
E01001479,Enfield 023A,60,145,255,225,c
E01001480,Enfield 024D,25,100,240,240,c
E01001481,Enfield 018C,45,140,345,50,c
E01001482,Enfield 023B,55,85,230,320,c
E01001483,Enfield 025A,20,30,115,460,c
E01001484,Enfield 016C,55,135,310,15,c
E01001485,Enfield 025B,55,65,325,270,c
E01001486,Enfield 025C,65,105,275,410,c
E01001487,Enfield 023C,75,100,365,195,c
E01001488,Enfield 024E,60,115,370,170,c
E01001489,Enfield 023D,65,160,355,125,c
E01001491,Enfield 023E,50,100,345,260,c
E01001492,Enfield 025E,50,245,330,85,c
E01001493,Enfield 026B,20,270,175,305,c
E01001494,Enfield 026C,15,120,355,20,c
E01001495,Enfield 029A,c,90,195,490,c
E01001496,Enfield 026D,20,230,285,140,c
E01001497,Enfield 031E,20,120,335,65,c
E01001498,Enfield 029B,15,55,240,460,c
E01001499,Enfield 031F,25,115,350,85,c
E01001500,Enfield 035D,20,85,325,150,c
E01001501,Enfield 036E,15,125,110,755,c
E01001502,Enfield 018D,60,85,300,240,c
E01001503,Enfield 018E,30,150,325,150,c
E01001504,Enfield 012B,50,150,270,110,c
E01001505,Enfield 012C,50,265,175,125,c
E01001507,Enfield 012D,45,70,175,575,c
E01001508,Enfield 012E,60,85,305,370,c
E01001509,Enfield 014C,40,105,215,345,c
E01001511,Enfield 016D,30,110,465,90,c
E01001512,Enfield 015D,20,90,320,610,c
E01001513,Enfield 012F,40,160,280,290,c
E01001514,Enfield 016E,20,110,380,195,c
E01001515,Enfield 015E,10,70,115,585,c
E01001516,Enfield 005D,20,225,315,155,c
E01001517,Enfield 006C,25,75,85,530,c
E01001518,Enfield 016F,20,145,290,245,c
E01001520,Enfield 019A,45,290,100,275,c
E01001521,Enfield 028A,130,235,50,300,c
E01001522,Enfield 019B,65,90,150,465,c
E01001523,Enfield 019C,30,320,35,375,c
E01001524,Enfield 019D,35,270,50,215,c
E01001525,Enfield 020E,25,215,300,245,c
E01001526,Enfield 019E,75,380,c,195,c
E01001527,Enfield 036F,40,235,120,430,c
E01001528,Enfield 032B,c,40,85,675,c
E01001529,Enfield 032C,25,50,50,575,c
E01001530,Enfield 032D,20,105,360,165,c
E01001531,Enfield 028B,45,270,85,150,c
E01001532,Enfield 028C,45,250,115,285,c
E01001533,Enfield 028D,55,445,15,40,c
E01001534,Enfield 032E,40,340,110,135,c
E01001535,Enfield 028E,35,345,70,70,c
E01001536,Enfield 008B,45,150,330,380,c
E01001537,Enfield 005E,30,100,215,375,c
E01001538,Enfield 009A,15,275,295,25,c
E01001539,Enfield 009B,10,165,375,115,c
E01001540,Enfield 008C,35,95,250,460,c
E01001541,Enfield 008D,10,130,335,190,c
E01001542,Enfield 008E,10,145,125,415,c
E01001543,Enfield 009C,10,320,240,25,c
E01001544,Enfield 009D,20,510,25,100,c
E01001545,Enfield 002B,20,195,180,285,c
E01001546,Enfield 001C,30,165,315,140,c
E01001547,Enfield 002C,55,295,215,205,c
E01001548,Enfield 002D,50,120,310,220,c
E01001549,Enfield 006D,20,80,145,620,c
E01001550,Enfield 006E,45,180,300,65,c
E01001551,Enfield 002E,40,155,260,205,c
E01001552,Enfield 001D,40,360,110,180,c
E01001553,Enfield 037B,40,225,185,110,c
E01001554,Enfield 037C,15,25,30,665,c
E01001555,Enfield 033C,80,165,340,235,c
E01001556,Enfield 035E,30,135,335,55,c
E01001557,Enfield 033D,50,145,335,50,c
E01001558,Enfield 033E,70,55,170,355,c
E01001559,Enfield 033F,65,100,335,215,c
E01001560,Enfield 035F,30,180,235,80,c
E01001562,Enfield 037D,25,80,105,665,c
E01001563,Enfield 029C,30,65,215,435,c
E01001564,Enfield 022B,20,240,130,270,c
E01001565,Enfield 029D,40,115,185,410,c
E01001566,Enfield 029E,20,230,50,360,c
E01001567,Enfield 022C,125,315,85,105,c
E01001568,Enfield 022D,210,350,c,c,c
E01001569,Enfield 022E,55,195,105,450,c
E01001570,Enfield 026E,15,185,290,260,c
E01001571,Greenwich 008A,45,70,440,85,c
E01001572,Greenwich 008B,40,95,425,110,c
E01001573,Greenwich 008C,25,90,360,70,c
E01001574,Greenwich 008D,15,65,95,610,c
E01001575,Greenwich 003A,30,65,270,265,15
E01001576,Greenwich 003B,20,70,245,370,c
E01001577,Greenwich 003C,25,75,330,315,15
E01001578,Greenwich 003D,45,105,360,380,c
E01001579,Greenwich 003E,25,155,240,240,c
E01001580,Greenwich 021A,100,60,35,670,c
E01001581,Greenwich 016A,20,105,95,575,c
E01001582,Greenwich 021B,60,200,90,335,c
E01001583,Greenwich 021C,95,75,60,610,c
E01001584,Greenwich 021D,90,70,155,420,c
E01001585,Greenwich 016B,35,135,200,270,c
E01001586,Greenwich 016C,70,70,70,505,c
E01001587,Greenwich 016D,50,135,90,750,c
E01001588,Greenwich 012A,30,275,85,280,c
E01001589,Greenwich 012B,20,225,180,290,c
E01001590,Greenwich 014A,10,115,295,330,c
E01001591,Greenwich 012C,40,85,125,605,c
E01001592,Greenwich 014B,30,75,410,265,c
E01001593,Greenwich 014C,25,75,510,180,c
E01001594,Greenwich 014D,45,65,110,640,c
E01001595,Greenwich 012D,30,190,110,425,c
E01001596,Greenwich 032A,55,510,30,55,c
E01001597,Greenwich 031A,45,360,35,220,c
E01001598,Greenwich 031B,60,455,35,70,c
E01001599,Greenwich 032B,45,430,55,90,c
E01001600,Greenwich 032C,30,255,95,285,c
E01001601,Greenwich 032D,35,365,100,95,c
E01001602,Greenwich 031C,25,310,255,155,c
E01001603,Greenwich 031D,10,165,165,425,c
E01001604,Greenwich 027A,20,215,230,160,c
E01001605,Greenwich 023A,c,485,80,c,c
E01001606,Greenwich 023B,c,140,440,40,c
E01001607,Greenwich 027B,c,115,405,165,c
E01001608,Greenwich 027C,90,210,135,175,c
E01001609,Greenwich 027D,10,180,215,360,c
E01001610,Greenwich 023C,c,230,370,115,c
E01001611,Greenwich 023D,25,260,270,185,c
E01001613,Greenwich 028A,45,85,145,590,c
E01001614,Greenwich 028B,120,395,c,40,c
E01001615,Greenwich 028C,110,25,80,790,c
E01001617,Greenwich 028D,25,305,180,270,c
E01001618,Greenwich 030C,40,370,170,195,c
E01001619,Greenwich 030D,25,190,360,295,c
E01001620,Greenwich 025A,15,350,115,25,c
E01001621,Greenwich 025B,c,315,60,310,c
E01001623,Greenwich 025C,15,275,295,90,c
E01001624,Greenwich 025D,25,250,335,35,c
E01001625,Greenwich 025E,30,325,230,50,c
E01001629,Greenwich 009A,20,55,235,585,c
E01001631,Greenwich 007B,c,30,90,685,c
E01001632,Greenwich 007C,50,100,380,155,c
E01001633,Greenwich 009B,20,75,230,465,c
E01001634,Greenwich 009C,15,50,150,470,c
E01001635,Greenwich 007D,35,65,480,90,c
E01001636,Greenwich 007E,45,75,310,230,c
E01001637,Greenwich 009D,35,80,335,290,c
E01001638,Greenwich 038A,15,25,85,595,c
E01001641,Greenwich 038B,20,65,270,530,c
E01001642,Greenwich 038C,55,90,380,290,c
E01001644,Greenwich 038D,40,90,200,945,c
E01001645,Greenwich 022A,35,320,285,100,c
E01001646,Greenwich 019A,30,110,250,810,c
E01001647,Greenwich 022B,35,390,130,35,c
E01001648,Greenwich 022C,55,245,75,370,c
E01001649,Greenwich 022D,25,240,270,55,c
E01001650,Greenwich 019B,15,260,315,40,c
E01001651,Greenwich 019C,15,165,200,390,c
E01001652,Greenwich 019D,35,255,105,350,c
E01001653,Greenwich 029A,c,75,130,410,c
E01001654,Greenwich 029B,60,145,180,215,c
E01001655,Greenwich 029C,10,75,145,430,c
E01001656,Greenwich 034A,45,65,240,260,c
E01001657,Greenwich 034B,145,100,110,415,c
E01001658,Greenwich 034C,30,110,160,480,c
E01001659,Greenwich 034D,105,345,35,90,c
E01001660,Greenwich 029D,40,250,190,105,c
E01001661,Greenwich 029E,40,255,205,105,c
E01001664,Greenwich 037B,c,55,410,445,c
E01001665,Greenwich 037C,15,80,400,360,c
E01001666,Greenwich 041G,15,55,345,355,c
E01001669,Greenwich 033A,40,150,405,350,c
E01001671,Greenwich 033B,45,65,425,190,c
E01001672,Greenwich 006A,50,85,395,135,c
E01001673,Greenwich 006B,40,55,280,465,c
E01001674,Greenwich 006C,60,245,305,135,c
E01001675,Greenwich 006D,65,140,370,155,c
E01001676,Greenwich 033C,20,70,215,405,c
E01001677,Greenwich 006E,70,125,355,195,c
E01001678,Greenwich 017A,30,355,195,85,c
E01001679,Greenwich 020A,25,105,355,85,c
E01001680,Greenwich 020B,95,385,50,120,c
E01001681,Greenwich 020C,25,40,355,130,c
E01001682,Greenwich 020D,50,125,265,150,c
E01001683,Greenwich 017B,15,45,315,235,c
E01001684,Greenwich 017C,25,250,220,85,c
E01001685,Greenwich 017D,20,180,340,135,c
E01001686,Greenwich 020E,35,90,155,540,c
E01001687,Greenwich 002A,20,75,260,175,c
E01001688,Greenwich 002B,85,165,320,410,c
E01001690,Greenwich 001A,30,75,215,485,c
E01001692,Greenwich 001B,25,20,115,410,c
E01001693,Greenwich 001C,15,25,95,495,c
E01001694,Greenwich 001D,55,115,285,180,c
E01001695,Greenwich 011A,15,65,170,365,c
E01001696,Greenwich 011B,10,30,55,1110,c
E01001697,Greenwich 011C,35,110,285,560,c
E01001698,Greenwich 015A,20,55,200,525,c
E01001699,Greenwich 015B,15,60,100,640,c
E01001700,Greenwich 011D,55,55,220,490,c
E01001701,Greenwich 015C,15,105,215,525,c
E01001702,Greenwich 015D,25,70,250,120,c
E01001703,Greenwich 011E,c,10,30,760,c
E01001704,Greenwich 011F,30,60,335,235,c
E01001705,Greenwich 005A,20,70,195,625,c
E01001708,Greenwich 005C,20,100,320,300,c
E01001710,Greenwich 005D,c,25,55,625,c
E01001712,Greenwich 042A,10,30,85,835,c
E01001714,Hackney 002A,c,25,c,1010,c
E01001715,Hackney 007A,c,20,20,675,c
E01001716,Hackney 007B,c,20,c,820,15
E01001717,Hackney 007C,20,45,170,205,c
E01001718,Hackney 007D,15,45,60,800,c
E01001719,Hackney 007E,c,c,c,735,c
E01001720,Hackney 007F,c,30,60,775,c
E01001722,Hackney 029A,10,20,75,895,c
E01001723,Hackney 006A,c,30,140,565,c
E01001724,Hackney 006B,c,10,105,1035,c
E01001725,Hackney 004A,20,35,145,415,c
E01001726,Hackney 004B,c,c,40,455,c
E01001727,Hackney 006C,30,25,165,420,c
E01001728,Hackney 029B,c,40,45,560,c
E01001729,Hackney 019A,c,c,10,520,c
E01001730,Hackney 019B,c,c,20,1150,c
E01001731,Hackney 017A,c,20,105,1120,c
E01001732,Hackney 019C,c,10,25,745,c
E01001733,Hackney 015A,20,45,285,430,c
E01001734,Hackney 017B,10,15,95,840,c
E01001735,Hackney 019D,c,50,255,340,c
E01001736,Hackney 012A,15,20,175,520,c
E01001737,Hackney 012B,c,c,150,595,c
E01001738,Hackney 012C,c,15,170,660,c
E01001739,Hackney 012D,10,25,280,625,c
E01001740,Hackney 014A,c,15,40,595,c
E01001741,Hackney 009A,c,15,310,275,c
E01001742,Hackney 008A,15,20,80,720,c
E01001744,Hackney 031A,20,50,210,585,c
E01001745,Hackney 016A,10,20,95,850,c
E01001746,Hackney 016B,c,c,35,595,c
E01001747,Hackney 014B,15,25,190,960,c
E01001749,Hackney 020B,15,45,135,545,c
E01001750,Hackney 031D,10,45,95,840,10
E01001751,Hackney 031B,c,130,245,330,c
E01001753,Hackney 025B,c,10,25,655,c
E01001755,Hackney 025D,10,c,40,670,c
E01001756,Hackney 030C,10,85,230,715,c
E01001757,Hackney 016C,c,c,15,635,c
E01001758,Hackney 016D,c,c,30,1095,c
E01001759,Hackney 016E,20,35,135,590,c
E01001760,Hackney 017C,10,40,115,780,c
E01001761,Hackney 016F,10,20,105,850,c
E01001762,Hackney 017D,c,35,65,775,c
E01001763,Hackney 020C,c,30,100,750,c
E01001764,Hackney 010A,20,30,105,560,c
E01001765,Hackney 010B,20,45,115,600,c
E01001767,Hackney 010D,10,15,125,520,c
E01001768,Hackney 006D,c,20,195,585,c
E01001769,Hackney 006E,15,15,115,525,c
E01001770,Hackney 010E,c,20,55,735,c
E01001772,Hackney 024A,c,15,35,745,c
E01001773,Hackney 025E,c,30,105,1000,c
E01001774,Hackney 024B,c,c,50,835,c
E01001775,Hackney 024C,c,c,15,700,10
E01001776,Hackney 025F,c,15,75,715,c
E01001777,Hackney 033A,c,c,20,1240,c
E01001780,Hackney 032D,c,c,25,900,c
E01001781,Hackney 026B,c,c,c,700,c
E01001783,Hackney 026D,c,c,c,710,c
E01001784,Hackney 032A,c,c,15,805,c
E01001785,Hackney 015B,15,40,300,265,c
E01001786,Hackney 013A,10,20,35,815,c
E01001787,Hackney 013B,25,35,135,490,c
E01001788,Hackney 013C,20,35,105,520,c
E01001789,Hackney 015C,35,75,295,285,c
E01001790,Hackney 013D,c,25,35,540,c
E01001791,Hackney 015D,25,40,240,210,c
E01001792,Hackney 011A,25,65,285,350,c
E01001793,Hackney 011B,35,25,235,410,c
E01001794,Hackney 011C,15,30,295,375,c
E01001795,Hackney 011D,c,30,175,400,c
E01001796,Hackney 011E,c,15,145,610,c
E01001798,Hackney 028A,15,55,130,600,c
E01001799,Hackney 003A,10,35,120,360,c
E01001800,Hackney 004C,c,c,15,735,c
E01001801,Hackney 008B,c,25,155,385,c
E01001802,Hackney 003B,c,30,45,425,c
E01001803,Hackney 008C,c,45,110,575,c
E01001804,Hackney 003C,c,80,55,380,c
E01001805,Hackney 009B,c,20,115,430,c
E01001806,Hackney 008D,c,35,135,535,c
E01001807,Hackney 003D,20,20,85,630,c
E01001808,Hackney 001A,10,45,75,480,c
E01001809,Hackney 001B,15,45,150,465,c
E01001811,Hackney 002D,c,10,15,750,c
E01001812,Hackney 003E,20,25,80,560,c
E01001813,Hackney 002E,c,10,c,845,30
E01001814,Hackney 001C,25,30,170,435,c
E01001815,Hackney 024D,20,70,140,465,c
E01001816,Hackney 020D,c,75,180,400,c
E01001819,Hackney 020E,15,160,155,470,c
E01001820,Hackney 024E,20,70,110,405,c
E01001821,Hackney 024F,15,15,55,525,c
E01001822,Hackney 029C,10,15,75,610,c
E01001823,Hackney 001D,20,45,175,395,10
E01001824,Hackney 004D,c,30,45,555,c
E01001825,Hackney 001E,15,40,190,205,c
E01001826,Hackney 004E,10,25,95,455,c
E01001827,Hackney 029D,c,50,65,590,c
E01001828,Hackney 028B,c,20,50,810,c
E01001829,Hackney 009C,c,25,390,305,c
E01001830,Hackney 014C,10,30,135,795,c
E01001831,Hackney 009D,10,25,195,625,c
E01001832,Hackney 009E,c,20,210,450,c
E01001833,Hackney 014D,20,20,140,820,c
E01001834,Hackney 014E,10,25,155,700,c
E01001835,Hackney 014F,10,15,250,250,c
E01001836,Hackney 022A,15,35,165,660,c
E01001837,Hackney 023B,15,20,160,490,c
E01001838,Hackney 019E,c,10,20,695,c
E01001839,Hackney 023C,c,15,55,1050,15
E01001840,Hackney 022B,15,50,95,530,c
E01001841,Hackney 022C,10,45,180,420,c
E01001842,Hackney 023D,10,10,95,565,c
E01001843,Hackney 023E,25,65,210,210,c
E01001844,Hackney 022D,20,50,260,435,c
E01001845,Hackney 022E,15,25,155,565,c
E01001846,Hackney 018A,25,105,140,300,c
E01001847,Hackney 018B,10,30,90,450,c
E01001848,Hackney 018C,20,35,205,475,c
E01001849,Hackney 018D,30,55,185,845,c
E01001850,Hackney 019F,c,c,c,720,c
E01001851,Hammersmith and Fulham 010A,c,15,270,450,c
E01001852,Hammersmith and Fulham 007A,c,15,35,1015,c
E01001853,Hammersmith and Fulham 007B,c,25,145,575,c
E01001854,Hammersmith and Fulham 007C,c,15,60,935,c
E01001855,Hammersmith and Fulham 010B,c,15,115,915,c
E01001856,Hammersmith and Fulham 010C,c,15,115,690,c
E01001857,Hammersmith and Fulham 007D,c,c,15,835,c
E01001858,Hammersmith and Fulham 006A,15,35,90,665,c
E01001859,Hammersmith and Fulham 008A,c,10,35,1180,c
E01001860,Hammersmith and Fulham 006B,10,20,75,765,c
E01001861,Hammersmith and Fulham 006C,c,20,110,570,c
E01001862,Hammersmith and Fulham 005A,10,25,55,855,c
E01001863,Hammersmith and Fulham 006D,c,45,160,495,c
E01001864,Hammersmith and Fulham 006E,20,25,185,575,c
E01001865,Hammersmith and Fulham 008B,10,35,300,380,c
E01001866,Hammersmith and Fulham 012A,c,10,40,750,c
E01001867,Hammersmith and Fulham 012B,c,c,40,610,c
E01001868,Hammersmith and Fulham 012C,c,c,15,650,c
E01001869,Hammersmith and Fulham 010D,c,35,215,430,c
E01001870,Hammersmith and Fulham 012D,c,c,25,1040,c
E01001871,Hammersmith and Fulham 012E,c,c,20,800,c
E01001872,Hammersmith and Fulham 012F,c,c,50,790,c
E01001873,Hammersmith and Fulham 010E,c,15,95,680,c
E01001875,Hammersmith and Fulham 001B,55,180,350,110,c
E01001876,Hammersmith and Fulham 001C,15,90,170,640,c
E01001877,Hammersmith and Fulham 001D,15,35,165,450,c
E01001878,Hammersmith and Fulham 001E,40,155,390,35,c
E01001879,Hammersmith and Fulham 019A,c,35,250,405,c
E01001880,Hammersmith and Fulham 017A,c,10,50,755,c
E01001881,Hammersmith and Fulham 017B,c,55,230,640,c
E01001882,Hammersmith and Fulham 017C,15,30,240,500,c
E01001883,Hammersmith and Fulham 017D,c,10,100,1180,c
E01001884,Hammersmith and Fulham 017E,c,15,100,885,c
E01001885,Hammersmith and Fulham 015A,c,10,20,520,c
E01001886,Hammersmith and Fulham 016A,c,25,210,465,c
E01001887,Hammersmith and Fulham 016B,c,30,130,505,c
E01001888,Hammersmith and Fulham 018A,c,30,355,280,c
E01001889,Hammersmith and Fulham 014A,10,25,260,355,c
E01001890,Hammersmith and Fulham 016C,c,20,170,650,c
E01001891,Hammersmith and Fulham 018B,10,15,220,1165,c
E01001892,Hammersmith and Fulham 016D,c,c,120,495,c
E01001893,Hammersmith and Fulham 013A,c,c,25,680,c
E01001894,Hammersmith and Fulham 013B,c,30,40,700,25
E01001895,Hammersmith and Fulham 009A,c,30,200,485,c
E01001896,Hammersmith and Fulham 009B,c,c,90,715,c
E01001897,Hammersmith and Fulham 009C,c,25,230,385,c
E01001898,Hammersmith and Fulham 013C,c,40,110,975,c
E01001899,Hammersmith and Fulham 013D,c,15,95,750,c
E01001900,Hammersmith and Fulham 013E,10,35,175,540,c
E01001901,Hammersmith and Fulham 019B,c,30,375,360,c
E01001902,Hammersmith and Fulham 019C,10,15,215,660,c
E01001903,Hammersmith and Fulham 019D,c,30,205,405,c
E01001904,Hammersmith and Fulham 022A,15,15,235,530,c
E01001905,Hammersmith and Fulham 022B,c,20,220,510,c
E01001906,Hammersmith and Fulham 022C,c,15,190,480,c
E01001907,Hammersmith and Fulham 022D,c,30,195,375,c
E01001908,Hammersmith and Fulham 015B,c,c,20,930,c
E01001909,Hammersmith and Fulham 015C,c,20,135,790,c
E01001910,Hammersmith and Fulham 014B,c,c,45,810,c
E01001911,Hammersmith and Fulham 015D,c,15,45,720,c
E01001912,Hammersmith and Fulham 015E,20,35,95,510,c
E01001913,Hammersmith and Fulham 014C,c,c,15,775,c
E01001914,Hammersmith and Fulham 014D,c,c,15,970,c
E01001915,Hammersmith and Fulham 024A,15,200,45,455,c
E01001916,Hammersmith and Fulham 024B,10,95,60,565,c
E01001917,Hammersmith and Fulham 018C,c,40,180,545,c
E01001918,Hammersmith and Fulham 018D,c,40,140,495,c
E01001919,Hammersmith and Fulham 018E,c,95,220,345,c
E01001920,Hammersmith and Fulham 020A,c,15,85,795,c
E01001921,Hammersmith and Fulham 020B,15,35,245,395,c
E01001922,Hammersmith and Fulham 020C,10,50,355,295,c
E01001923,Hammersmith and Fulham 020D,10,50,285,385,c
E01001924,Hammersmith and Fulham 020E,c,35,285,375,c
E01001925,Hammersmith and Fulham 025A,15,50,320,310,c
E01001926,Hammersmith and Fulham 024C,10,35,340,275,c
E01001927,Hammersmith and Fulham 008C,35,275,75,165,c
E01001928,Hammersmith and Fulham 011A,15,90,175,465,c
E01001929,Hammersmith and Fulham 009D,10,15,400,215,c
E01001930,Hammersmith and Fulham 008D,30,85,110,615,c
E01001931,Hammersmith and Fulham 011B,c,40,45,710,c
E01001932,Hammersmith and Fulham 011C,15,35,125,675,c
E01001933,Hammersmith and Fulham 011D,20,90,245,410,c
E01001934,Hammersmith and Fulham 025B,10,30,110,720,c
E01001935,Hammersmith and Fulham 023A,10,30,260,775,c
E01001937,Hammersmith and Fulham 025C,10,35,315,465,c
E01001938,Hammersmith and Fulham 025D,10,15,135,525,c
E01001940,Hammersmith and Fulham 005B,c,35,40,720,c
E01001941,Hammersmith and Fulham 005C,10,25,95,745,c
E01001942,Hammersmith and Fulham 005D,c,25,155,810,c
E01001943,Hammersmith and Fulham 004A,15,35,150,1110,c
E01001944,Hammersmith and Fulham 004B,c,10,20,860,c
E01001945,Hammersmith and Fulham 004C,10,30,225,575,c
E01001946,Hammersmith and Fulham 004D,c,20,100,880,c
E01001947,Hammersmith and Fulham 021A,c,c,35,570,c
E01001948,Hammersmith and Fulham 021B,c,20,250,680,c
E01001949,Hammersmith and Fulham 021C,c,20,210,460,c
E01001950,Hammersmith and Fulham 021D,c,45,280,335,c
E01001951,Hammersmith and Fulham 021E,10,30,165,560,c
E01001952,Hammersmith and Fulham 024D,c,15,85,850,c
E01001953,Hammersmith and Fulham 021F,c,c,90,650,c
E01001954,Hammersmith and Fulham 003A,15,30,260,390,c
E01001955,Hammersmith and Fulham 002A,30,130,170,525,c
E01001956,Hammersmith and Fulham 003B,15,80,170,365,c
E01001957,Hammersmith and Fulham 002B,c,10,15,590,c
E01001958,Hammersmith and Fulham 002C,c,c,c,610,c
E01001959,Hammersmith and Fulham 003C,35,220,195,170,c
E01001960,Hammersmith and Fulham 003D,10,30,130,675,c
E01001961,Hammersmith and Fulham 002D,c,c,c,535,c
E01001962,Haringey 004A,15,205,155,285,c
E01001963,Haringey 009A,20,135,285,260,c
E01001964,Haringey 009B,40,75,130,440,c
E01001965,Haringey 009C,c,35,295,305,c
E01001966,Haringey 009D,50,165,155,160,c
E01001967,Haringey 014A,c,95,245,285,c
E01001968,Haringey 014B,15,85,140,515,c
E01001969,Haringey 001A,55,80,105,685,c
E01001970,Haringey 004B,30,100,150,505,c
E01001971,Haringey 001B,20,50,90,685,c
E01001972,Haringey 004C,20,45,225,480,c
E01001973,Haringey 004D,25,290,150,580,c
E01001974,Haringey 001C,25,95,285,640,c
E01001975,Haringey 001D,15,25,120,705,c
E01001976,Haringey 011A,35,55,210,440,c
E01001977,Haringey 011B,20,40,145,495,c
E01001978,Haringey 011C,30,45,150,675,c
E01001979,Haringey 011D,50,50,235,630,c
E01001980,Haringey 018A,70,75,270,330,c
E01001981,Haringey 018B,50,55,335,255,c
E01001982,Haringey 018C,35,40,265,475,c
E01001983,Haringey 018D,30,50,345,295,c
E01001984,Haringey 033A,25,25,50,925,c
E01001985,Haringey 033B,20,60,125,600,c
E01001986,Haringey 034A,15,80,175,475,c
E01001987,Haringey 033C,25,150,130,515,c
E01001988,Haringey 034B,15,60,85,695,c
E01001989,Haringey 033D,20,90,215,495,c
E01001990,Haringey 034C,15,35,110,945,c
E01001991,Haringey 017A,c,45,15,730,c
E01001992,Haringey 017B,85,255,95,270,c
E01001993,Haringey 017C,30,140,355,100,c
E01001994,Haringey 030A,95,175,35,490,c
E01001995,Haringey 017D,25,165,505,275,c
E01001996,Haringey 014C,25,115,130,385,c
E01001997,Haringey 014D,10,65,85,620,c
E01001998,Haringey 023A,15,125,130,630,c
E01001999,Haringey 023B,20,45,275,725,c
E01002000,Haringey 031A,20,25,230,540,c
E01002001,Haringey 031B,15,55,220,425,c
E01002002,Haringey 031C,20,25,165,650,c
E01002003,Haringey 023C,15,50,135,1065,c
E01002004,Haringey 023D,25,40,350,340,c
E01002005,Haringey 035A,10,30,125,660,c
