LSOA code,LSOA name,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure
E01000090,Barking and Dagenham 020E,45,135,310,80,c
E01000091,Barking and Dagenham 022A,30,140,205,325,c
E01000093,Barking and Dagenham 022B,20,85,145,440,c
E01000094,Barking and Dagenham 022C,40,120,210,535,c
E01000095,Barking and Dagenham 018E,60,190,380,145,c
E01000096,Barking and Dagenham 022D,30,65,230,175,c
E01000097,Barking and Dagenham 023C,45,180,370,110,c
E01000098,Barking and Dagenham 023D,25,245,240,135,c
E01000099,Barking and Dagenham 023E,60,235,495,165,c
E01000100,Barking and Dagenham 004B,40,155,380,100,c
E01000101,Barking and Dagenham 004C,40,155,330,75,c
E01000102,Barking and Dagenham 007G,55,125,385,85,c
E01000103,Barking and Dagenham 014A,20,375,85,85,c
E01000104,Barking and Dagenham 014B,55,85,120,485,c
E01000105,Barking and Dagenham 014C,30,95,355,520,c
E01000106,Barking and Dagenham 014D,30,105,190,610,c
E01000107,Barking and Dagenham 010C,90,160,265,115,c
E01000108,Barking and Dagenham 010D,30,180,235,285,c
E01000110,Barking and Dagenham 002C,50,180,255,55,c
E01000111,Barking and Dagenham 002D,35,145,205,390,c
E01000112,Barking and Dagenham 002E,25,135,230,350,c
E01000113,Barking and Dagenham 002F,25,145,340,160,c
E01000114,Barking and Dagenham 004E,40,175,430,155,c
E01000115,Barnet 009A,135,335,c,15,c
E01000116,Barnet 009B,15,255,285,75,c
E01000117,Barnet 010A,25,400,135,160,c
E01000118,Barnet 010B,10,355,255,150,c
E01000119,Barnet 009C,65,380,160,30,c
E01000120,Barnet 009D,20,395,80,15,c
E01000121,Barnet 010C,15,115,230,175,c
E01000122,Barnet 009E,25,435,25,45,c
E01000123,Barnet 010D,25,245,275,195,c
E01000124,Barnet 010E,20,75,275,435,c
E01000126,Barnet 026A,30,115,200,440,c
E01000127,Barnet 024B,25,110,265,130,c
E01000128,Barnet 024C,30,255,275,100,c
E01000129,Barnet 024D,20,70,145,380,c
E01000130,Barnet 021A,35,105,275,255,c
E01000131,Barnet 024E,30,320,65,325,c
E01000132,Barnet 021B,35,115,275,90,c
E01000133,Barnet 021C,40,135,300,125,c
E01000134,Barnet 024F,25,135,300,195,c
E01000135,Barnet 038A,120,235,15,310,c
E01000136,Barnet 038B,235,120,15,235,c
E01000137,Barnet 041A,10,35,100,550,c
E01000138,Barnet 040A,80,245,80,295,c
E01000139,Barnet 041B,75,130,25,370,c
E01000140,Barnet 041C,45,50,110,735,c
E01000141,Barnet 039A,20,45,190,605,c
E01000142,Barnet 040B,25,205,115,615,c
