Ward code,Ward name,Total population,Under 15 years,15 to 64 years,65 years and older,Detached whole house or bungalow,Semi-detached whole house or bungalow,Terraced whole house or bungalow,"Flat, maisonette or apartment",A caravan or other mobile or temporary structure,Total: All dwellings,Total: Occupied dwellings,Unoccupied dwellings,Total: All households,One-person household,One-person household: Aged 66 years and over,One-person household: Other,Single family household,Other household types
E05000453,Telegraph Hill,16910,3023,12553,1334,65.0,635.0,1525.0,5000.0,0.0,7265,6710,555.0,6760.0,1883.0,385.0,1498.0,3786.0,1091.0
E05000454,Whitefoot,15888,3727,10545,1616,280.0,1460.0,2200.0,2185.0,0.0,6145,5805,325.0,5834.0,1575.0,530.0,1045.0,3584.0,675.0
E05000455,Abbey,10794,1964,7892,938,80.0,425.0,1770.0,2690.0,0.0,4975,4580,400.0,4585.0,1341.0,394.0,947.0,2722.0,522.0
E05000456,Cannon Hill,9793,1925,6247,1621,80.0,1210.0,1730.0,615.0,0.0,3645,3520,125.0,3524.0,728.0,409.0,319.0,2356.0,440.0
E05000457,Colliers Wood,11558,1711,8764,1083,130.0,705.0,1105.0,3160.0,0.0,5110,4760,355.0,4756.0,1282.0,272.0,1010.0,2714.0,760.0
E05000458,Cricket Green,12610,2785,8414,1411,195.0,700.0,1490.0,2360.0,0.0,4755,4585,170.0,4581.0,1210.0,449.0,761.0,2755.0,616.0
E05000459,Dundonald,10057,2152,6854,1051,130.0,720.0,1850.0,1600.0,0.0,4310,4040,275.0,4030.0,978.0,351.0,627.0,2656.0,396.0
E05000460,Figge's Marsh,12405,2724,8369,1312,205.0,605.0,1380.0,2515.0,0.0,4730,4415,300.0,4435.0,1126.0,390.0,736.0,2611.0,698.0
E05000461,Graveney,10264,1805,7235,1224,215.0,435.0,1910.0,1300.0,0.0,3860,3620,230.0,3629.0,814.0,275.0,539.0,2040.0,775.0
E05000462,Hillside,9078,1469,6154,1455,320.0,595.0,500.0,3170.0,0.0,4595,4135,465.0,4154.0,1468.0,577.0,891.0,2327.0,359.0
E05000463,Lavender Fields,11448,2208,8268,972,200.0,810.0,1570.0,1855.0,0.0,4445,4265,180.0,4270.0,1092.0,268.0,824.0,2511.0,667.0
E05000464,Longthornton,11574,2382,7804,1388,185.0,855.0,2145.0,990.0,0.0,4185,3980,205.0,3985.0,873.0,319.0,554.0,2457.0,655.0
E05000465,Lower Morden,9396,1795,6013,1588,65.0,800.0,1900.0,770.0,0.0,3550,3440,105.0,3446.0,714.0,380.0,334.0,2392.0,340.0
E05000466,Merton Park,9914,1987,6242,1685,210.0,1220.0,1175.0,1285.0,0.0,3910,3695,205.0,3704.0,827.0,430.0,397.0,2432.0,445.0
E05000467,Pollards Hill,11981,2626,8030,1325,185.0,980.0,1875.0,1115.0,0.0,4150,4020,130.0,4014.0,879.0,309.0,570.0,2466.0,669.0
E05000468,Ravensbury,10752,2167,7212,1373,275.0,1035.0,1505.0,1240.0,0.0,4050,3875,175.0,3881.0,938.0,369.0,569.0,2416.0,527.0
E05000469,Raynes Park,10302,2081,6682,1539,430.0,1075.0,660.0,2375.0,0.0,4530,4205,315.0,4217.0,1203.0,432.0,771.0,2694.0,320.0
E05000470,St. Helier,11972,2452,8117,1403,100.0,905.0,2095.0,1345.0,0.0,4450,4295,150.0,4299.0,1065.0,419.0,646.0,2670.0,564.0
E05000471,Trinity,10202,1914,7297,991,105.0,655.0,1405.0,2420.0,0.0,4595,4270,320.0,4280.0,1176.0,319.0,857.0,2660.0,444.0
E05000472,Village,8475,1454,5042,1979,1325.0,590.0,545.0,1370.0,0.0,3855,3450,405.0,3449.0,926.0,470.0,456.0,2238.0,285.0
E05000473,West Barnes,10619,2167,6896,1556,140.0,980.0,1930.0,1010.0,0.0,4075,3885,185.0,3891.0,847.0,379.0,468.0,2615.0,429.0
E05000474,Wimbledon Park,11984,2648,8156,1180,215.0,685.0,1800.0,2125.0,10.0,4860,4600,260.0,4592.0,987.0,301.0,686.0,3106.0,499.0
E05000475,Beckton,17582,3452,12851,1279,430.0,1160.0,1675.0,3410.0,0.0,6690,6215,470.0,6206.0,1570.0,364.0,1206.0,3675.0,961.0
E05000476,Boleyn,18529,4408,12764,1357,420.0,565.0,2295.0,2600.0,0.0,5890,5595,285.0,5612.0,1172.0,365.0,807.0,3397.0,1043.0
E05000477,Canning Town North,17186,3360,12564,1262,270.0,605.0,1600.0,4160.0,0.0,6645,6135,525.0,6126.0,1615.0,399.0,1216.0,3445.0,1066.0
E05000478,Canning Town South,20245,3745,15314,1186,245.0,500.0,1290.0,6925.0,0.0,8990,8090,915.0,8096.0,2350.0,416.0,1934.0,4457.0,1289.0
E05000479,Custom House,14336,3077,10125,1134,430.0,955.0,1705.0,2055.0,0.0,5135,4910,220.0,4927.0,1181.0,310.0,871.0,2850.0,896.0
E05000480,East Ham Central,16175,3764,10975,1436,360.0,555.0,2285.0,1705.0,0.0,4925,4585,335.0,4589.0,861.0,313.0,548.0,2648.0,1080.0
E05000481,East Ham North,14870,3361,10118,1391,290.0,430.0,1945.0,1350.0,0.0,4020,3835,185.0,3839.0,590.0,213.0,377.0,2180.0,1069.0
E05000482,East Ham South,17075,4457,11416,1202,310.0,700.0,2390.0,1870.0,0.0,5280,5025,250.0,5018.0,957.0,292.0,665.0,3148.0,913.0
E05000483,Forest Gate North,15785,3097,11387,1301,265.0,625.0,2165.0,2860.0,0.0,5925,5535,385.0,5541.0,1402.0,363.0,1039.0,3118.0,1021.0
E05000484,Forest Gate South,17262,3438,12445,1379,290.0,620.0,1545.0,3795.0,0.0,6275,5745,535.0,5801.0,1593.0,353.0,1240.0,3057.0,1151.0
E05000485,Green Street East,16466,4122,11142,1202,395.0,520.0,2025.0,1600.0,0.0,4555,4290,265.0,4293.0,635.0,219.0,416.0,2488.0,1170.0
E05000486,Green Street West,15798,3553,10855,1390,350.0,515.0,1915.0,1625.0,0.0,4405,4105,295.0,4138.0,731.0,226.0,505.0,2187.0,1220.0
E05000487,Little Ilford,17321,4718,11382,1221,325.0,565.0,1890.0,2555.0,0.0,5345,5015,320.0,5016.0,1006.0,315.0,691.0,3136.0,874.0
E05000488,Manor Park,15138,3552,10287,1299,240.0,460.0,1905.0,2205.0,0.0,4815,4530,280.0,4542.0,917.0,302.0,615.0,2685.0,940.0
E05000489,Plaistow North,16114,3479,11207,1428,280.0,585.0,1705.0,2885.0,0.0,5440,5175,260.0,5181.0,1363.0,393.0,970.0,2757.0,1061.0
E05000490,Plaistow South,17716,4164,12282,1270,510.0,745.0,2815.0,1790.0,0.0,5850,5595,265.0,5599.0,1174.0,297.0,877.0,3344.0,1081.0
E05000491,Royal Docks,18330,3503,14201,626,105.0,285.0,820.0,7760.0,0.0,9040,7720,1325.0,7726.0,2189.0,206.0,1983.0,4548.0,989.0
E05000492,Stratford and New Town,33941,5152,27424,1365,205.0,480.0,1850.0,12895.0,75.0,15610,13615,1990.0,13629.0,3732.0,477.0,3255.0,7056.0,2841.0
E05000493,Wall End,15447,3608,10713,1126,385.0,720.0,2160.0,1190.0,0.0,4470,4285,175.0,4294.0,639.0,198.0,441.0,2623.0,1032.0
E05000494,West Ham,15703,2841,11537,1325,260.0,525.0,1915.0,2995.0,0.0,5700,5325,375.0,5323.0,1354.0,350.0,1004.0,2809.0,1160.0
E05000516,Barnes,10137,1922,6331,1884,285.0,1275.0,1015.0,1915.0,0.0,4495,4175,315.0,4184.0,1240.0,587.0,653.0,2654.0,290.0
E05000517,East Sheen,10673,2523,6395,1755,485.0,1180.0,1360.0,1285.0,0.0,4310,4115,200.0,4122.0,1043.0,486.0,557.0,2826.0,253.0
E05000518,Fulwell and Hampton Hill,10727,2251,6823,1653,440.0,1115.0,1405.0,1675.0,0.0,4630,4440,195.0,4439.0,1287.0,527.0,760.0,2931.0,221.0
E05000519,"Ham, Petersham and Richmond Riverside",10830,2457,6558,1815,485.0,765.0,1395.0,2110.0,0.0,4760,4400,350.0,4391.0,1349.0,644.0,705.0,2747.0,295.0
E05000520,Hampton,10306,1959,6333,2014,780.0,1300.0,1010.0,1265.0,60.0,4430,4255,165.0,4259.0,1168.0,549.0,619.0,2863.0,228.0
E05000521,Hampton North,9711,1893,6001,1817,645.0,1160.0,1255.0,1140.0,10.0,4215,4095,120.0,4099.0,1305.0,577.0,728.0,2519.0,275.0
E05000522,Hampton Wick,10752,2037,6898,1817,540.0,830.0,875.0,2680.0,25.0,4945,4635,320.0,4622.0,1456.0,554.0,902.0,2936.0,230.0
E05000523,Heathfield,11089,2323,6975,1791,300.0,2300.0,450.0,1040.0,0.0,4090,3980,110.0,3981.0,925.0,456.0,469.0,2628.0,428.0
E05000524,Kew,11846,2222,7694,1930,435.0,1070.0,1230.0,2640.0,0.0,5400,4995,400.0,4999.0,1476.0,561.0,915.0,3213.0,310.0
E05000525,Mortlake and Barnes Common,11372,2447,7309,1616,180.0,605.0,1750.0,2695.0,0.0,5240,4940,300.0,4936.0,1588.0,633.0,955.0,3008.0,340.0
E05000526,North Richmond,11580,2393,7532,1655,160.0,1150.0,1565.0,2365.0,0.0,5250,4940,315.0,4940.0,1485.0,603.0,882.0,3150.0,305.0
E05000527,St. Margarets and North Twickenham,11954,2571,7952,1431,455.0,1160.0,1215.0,2205.0,25.0,5065,4795,270.0,4805.0,1246.0,430.0,816.0,3261.0,298.0
