ATCOCode,CommonName,NptgLocalityCode,LocalityName,Longitude,Latitude,Status
490010192W,New Barnet Station / Station Road,E0033978,New Barnet,-0.17679,51.6494,active
490001201D,New Barnet Station / Station Road,E0033978,New Barnet,-0.17609,51.64968,active
490001220E,Orpington Bus Station,E0034128,Orpington,0.08957,51.37346,active
490001220D,Orpington Bus Station,E0034128,Orpington,0.08963,51.37348,active
490001220F,Orpington Bus Station,E0034128,Orpington,0.08951,51.3734,active
490001251E,Constance Street,N0060463,Silvertown,0.0449,51.50254,active
490001251Z,Constance Street,N0060463,Silvertown,0.04469,51.50245,active
490001280SA,Tankerville Road,E0034646,Streatham Vale,-0.13456,51.41872,active
490012959W,Stubbers Adventure Centre,E0034452,Corbets Tey,0.26689,51.5409,active
490000362Z,Stubbers Adventure Centre,E0034452,Corbets Tey,0.26759,51.54103,active
490001310B,Westbury Street,N0065131,Clapham North,-0.14033,51.46986,active
490001334C,Red Lodge Road / West Wickham Station,E0034157,West Wickham,-0.0131,51.38163,active
490001334D,Red Lodge Road / West Wickham Station,E0034157,West Wickham,-0.01299,51.38151,active
490000363Z,Spencer Road,E0034472,South Hornchurch,0.17404,51.52851,active
490000364Z,Sussex Mews,E0034659,Catford,-0.02645,51.44425,active
490006706ZZ,Park Lane / Fairfield Halls,N0060493,Croydon,-0.0964,51.37269,active
490000365Z,Bourneville Road,E0034659,Catford,-0.02896,51.44649,active
490000366Z,Brightling Road,E0034659,Catford,-0.02989,51.44904,active
490000367Z,Francemary Road,E0034667,Ladywell,-0.02515,51.45449,active
490000368Z,Amyruth Road,E0034667,Ladywell,-0.02811,51.45365,active
490004807B,North Road / Southall,E0034273,Southall,-0.37326,51.51578,active
490004807A,North Road / Southall,E0034273,Southall,-0.37294,51.51582,active
490001985Z,Hill Crescent,E0033988,Totteridge,-0.18278,51.6302,active
490000369Z,Foxborough Gardens,E0034667,Ladywell,-0.0294,51.45334,active
490002043ZZ,Station Road / Chastilian Road,E0034011,Crayford,0.18098,51.4444,active
490002061B,Mudchute Station / Spindrift Ave,N0077699,Mudchute,-0.01421,51.48956,active
490000370Z,Gordonbrock Road,E0034667,Ladywell,-0.02699,51.45376,active
490002107ZZ,Elizabeth Bridge,E0034943,Pimlico,-0.147,51.49233,active
490002136ZZ,Swedish School London,E0034751,Barnes,-0.24485,51.48454,active
490011961N,Scratchwood Open Space,E0033942,Barnet Gate,-0.25633,51.63989,active
490015048Z,Parliament Square / Westminster Station,E0034961,Westminster,-0.12766,51.50063,active
490004374N,Chigwell Road / Broadmead Road,E0034747,Woodford Bridge,0.04363,51.60115,active
490020353E,Edgeworth Road,E0033957,East Barnet,-0.1616,51.65183,active
490009960S,Moat Mount Open Space,E0033942,Barnet Gate,-0.25354,51.63195,active
490002219Z,Ebury Bridge Road / Chelsea Bridge Road,E0034943,Pimlico,-0.15266,51.4877,active
490002220Z,Osiers Road,E0034912,Wandsworth,-0.19752,51.46088,active
490002220Y,Osiers Road,E0034912,Wandsworth,-0.19745,51.46079,active
490002222Y,Bincote Road / Enfield Road,N0060448,Grange Park,-0.11031,51.65411,active
490002222Z,Bincote Road / Enfield Road,N0060448,Grange Park,-0.11011,51.65405,active
490002223Y,Station Road / Green Lanes,N0060446,Winchmore Hill,-0.09662,51.63225,active
490002223Z,Station Road / Green Lanes,N0060446,Winchmore Hill,-0.09619,51.63225,active
490002224Z,Farm Road / Winchmore Hill,N0060446,Winchmore Hill,-0.09367,51.63102,active
490002224Y,Farm Road / Winchmore Hill,N0060446,Winchmore Hill,-0.09289,51.63094,active
490002225Z,Hyde Park Avenue,N0060446,Winchmore Hill,-0.08927,51.62897,active
490002225Y,Hyde Park Avenue,N0060446,Winchmore Hill,-0.08932,51.62882,active
490002226Y,The Fairway / Winchmore Hill,N0060446,Winchmore Hill,-0.08925,51.62478,active
490002226Z,The Fairway / Winchmore Hill,N0060446,Winchmore Hill,-0.08904,51.62484,active
490002227Y,Hedge Lane / Firs Lane,N0060446,Winchmore Hill,-0.09078,51.61928,active
490002227Z,Hedge Lane / Firs Lane,N0060446,Winchmore Hill,-0.09104,51.61955,active
490002228Z,Winchmore Hill Road,N0060446,Winchmore Hill,-0.11007,51.63761,active
490002228Y,Winchmore Hill Road,N0060446,Winchmore Hill,-0.11015,51.63744,active
490002229Z,Denleigh Gardens / St Paul's Church,N0060446,Winchmore Hill,-0.10519,51.63536,active
490002229Y,Denleigh Gardens / St Paul's Church,N0060446,Winchmore Hill,-0.10518,51.63536,active
490015206L,New Malden / Kingston Road,E0034617,New Malden,-0.25672,51.39857,active
490015206M,New Malden / Kingston Road,E0034617,New Malden,-0.25703,51.39879,active
490002231Y,Meadow View,E0034001,Blackfen,0.10963,51.4465,active
490002231Z,Meadow View,E0034001,Blackfen,0.10822,51.44621,active
490002232Y,Bolingbroke Academy & Medical Centre,E0034892,Clapham Junction,-0.16953,51.45623,active
490002232Z,Bolingbroke Academy & Medical Centre,E0034892,Clapham Junction,-0.16895,51.45606,active
490002233Y,St Stephens C of E Primary School,E0034779,St Margarets,-0.32424,51.45703,active
490002233Z,St Stephens C of E Primary School,E0034779,St Margarets,-0.32501,51.45707,active
490002234Y,Cole Park Road,E0034779,St Margarets,-0.3296,51.45601,active
490002234Z,Cole Park Road,E0034779,St Margarets,-0.32933,51.45634,active
490002235Y,Marlow Crescent,E0034783,Twickenham,-0.33522,51.45432,active
490002235Z,Marlow Crescent,E0034783,Twickenham,-0.33604,51.45431,active
490002236Z,Coventry Street / Leicester Square,N0077706,Piccadilly Circus,-0.13184,51.5104,active
490002237Z,George Street / Uxbridge,E0034515,Uxbridge,-0.47602,51.56402,active
490002238Y,Victoria Road / Erith,E0034015,Erith,0.17589,51.47959,active
490002238Z,Victoria Road / Erith,E0034015,Erith,0.17616,51.47824,active
490002239Y,Erith Leisure Centre,E0034015,Erith,0.1765,51.47726,active
490002239Z,Erith Leisure Centre,E0034015,Erith,0.1764,51.47762,active
490002240Z,Avenue Road / Erith,E0034015,Erith,0.17049,51.47558,active
490002240Y,Avenue Road / Erith,E0034015,Erith,0.17246,51.47607,active
490002241Z,Lesney Park / Avenue Road,E0034015,Erith,0.1701,51.47532,active
490002242Z,Erith & District Hospital,E0034015,Erith,0.16582,51.47667,active
490002242Y,Erith & District Hospital,E0034015,Erith,0.16577,51.47725,active
490016608W,King Henry School,E0034015,Erith,0.16699,51.47479,active
490002243Z,King Henry School,E0034015,Erith,0.16747,51.47488,active
490002244Z,Beechfield Road / Erith,E0034015,Erith,0.17371,51.47661,active
490002245Z,Carlton Road / Bexley Road,E0034024,Northumberland Heath,0.16314,51.47792,active
490002245Y,Carlton Road / Bexley Road,E0034024,Northumberland Heath,0.16251,51.47794,active
490004885E,Carlton Road / The Quarry,E0034024,Northumberland Heath,0.1594,51.47891,active
490002246Z,Carlton Road / The Quarry,E0034024,Northumberland Heath,0.16003,51.47883,active
490002246Y,Carlton Road / The Quarry,E0034024,Northumberland Heath,0.15972,51.47874,active
490002247Y,Carlton Road / Brook Street,E0034024,Northumberland Heath,0.15572,51.47856,active
490002248Z,Carlton Road / Silver Spring Road,E0034024,Northumberland Heath,0.15716,51.479,active
490002249Z,Parsonage Manorway Shops,E0034020,Lessness Heath,0.14849,51.47782,active
490002249Y,Parsonage Manorway Shops,E0034020,Lessness Heath,0.14812,51.47763,active
